ID_ARCHETYPE,archetype,U_wall_0,U_wall_min,U_wall_max,perc_below_lim_wall,perc_within_lim_wall,perc_above_lim_wall,U_roof_0_moy,U_roof_min,U_roof_max,perc_below_lim_roof,perc_within_lim_roof,perc_above_lim_roof,dist_perc_wall,dist_wall_count,dist_wall_mean,dist_wall_std,dist_wall_min,dist_wall_Q1,dist_wall_Q2,dist_wall_Q3,dist_wall_max,dist_wall_EP_ISOL_M1_med,dist_wall_EP_ISOL_M1_moy,dist_perc_roof,dist_roof_count,dist_roof_mean,dist_roof_std,dist_roof_min,dist_roof_Q1,dist_roof_Q2,dist_roof_Q3,dist_roof_max,dist_roof_EP_ISOL_T1_moy,dist_roof_EP_ISOL_T1_med,renov_perc_wall,renov_wall_count,renov_wall_mean,renov_wall_std,renov_wall_min,renov_wall_Q1,renov_wall_Q2,renov_wall_Q3,renov_wall_max,renov_wall_EP_ISOL_M1_med,renov_wall_EP_ISOL_M1_moy,renov_perc_roof,renov_roof_count,renov_roof_mean,renov_roof_std,renov_roof_min,renov_roof_Q1,renov_roof_Q2,renov_roof_Q3,renov_roof_max,renov_roof_EP_ISOL_T1_moy,renov_roof_EP_ISOL_T1_med,nonrnv_perc_wall,nonrnv_wall_count,nonrnv_wall_mean,nonrnv_wall_std,nonrnv_wall_min,nonrnv_wall_Q1,nonrnv_wall_Q2,nonrnv_wall_Q3,nonrnv_wall_max,nonrnv_wall_EP_ISOL_M1_med,nonrnv_wall_EP_ISOL_M1_moy,nonrnv_perc_roof,nonrnv_roof_count,nonrnv_roof_mean,nonrnv_roof_std,nonrnv_roof_min,nonrnv_roof_Q1,nonrnv_roof_Q2,nonrnv_roof_Q3,nonrnv_roof_max,nonrnv_roof_EP_ISOL_T1_med,nonrnv_roof_EP_ISOL_T1_moy
COM_I_P1_TF,P1-I-COMMERCE-FRANCE,1.5,1.5,2.5,74.6,25.4,0.0,1.7375,1.2,2.5,73.3,26.6,0.1,100,916,0.855,0.673,0.05,0.35,0.47,1.55,2.5,6,2,100,916,0.756,0.873,0.06,0.19,0.25,1.2,3.61,3,14,74.6,683,0.487,0.257,0.05,0.34,0.38,0.54,1.48,8,6,73.3,671,0.265,0.156,0.06,0.18,0.2,0.3,1.07,13,18,25.4,233,1.934,0.161,1.5,1.9,2.0,2.0,2.5,0.0,0.0,26.700000000000003,245,2.1,0.557,1.2,1.45,2.5,2.5,3.61,0,0
HAB_I_P1_TBO_TUI,P1-I-HABITAT-FRANCE_BOIS_TUILE,0.8,0.8,2.5,67.0,33.0,0.0,1.7375,1.2,2.5,67.4,32.6,0.0,100,1010,0.809,0.681,0.1,0.34,0.4,1.5,2.5,5,0,100,1010,0.86,0.933,0.06,0.19,0.3,1.45,2.5,2,11,67.0,677,0.368,0.121,0.1,0.32,0.35,0.4,0.78,6,6,67.4,681,0.255,0.135,0.06,0.18,0.2,0.3,1.11,13,18,33.0,333,1.704,0.422,0.8,1.55,2.0,2.0,2.5,0.0,0.0,32.6,329,2.112,0.555,1.2,1.45,2.5,2.5,2.5,0,0
HAB_I_P1_TBR_TUI,P1-I-HABITAT-FRANCE_BRIQUE_TUILE,1.35,1.35,2.5,69.2,30.7,0.0,1.7375,1.2,2.5,62.6,37.4,0.0,100,9405,0.931,0.701,0.05,0.36,0.51,1.9,2.61,5,1,100,9405,0.927,0.925,0.05,0.2,0.34,1.45,3.33,2,9,69.2,6511,0.487,0.237,0.05,0.34,0.4,0.555,1.33,7,5,62.6,5884,0.272,0.152,0.05,0.19,0.23,0.32,1.11,12,15,30.7,2894,1.931,0.159,1.35,1.9,2.0,2.0,2.61,0.0,0.0,37.4,3521,2.023,0.57,1.2,1.45,2.5,2.5,3.33,0,0
HAB_I_P1_TCAL_ARD,P1-I-HABITAT-FRANCE_PIERRE_CALCAIRE_ARDOISE,1.5,1.5,2.5,57.6,42.4,0.0,1.7375,1.2,2.5,53.5,46.5,0.0,100,13788,1.117,0.741,0.05,0.38,0.98,2.0,2.94,1,1,100,13788,1.104,0.967,0.06,0.23,0.595,2.5,4.23,1,4,57.6,7936,0.508,0.264,0.05,0.34,0.4,0.57,1.49,7,5,53.5,7377,0.286,0.165,0.06,0.19,0.24,0.34,1.11,12,14,42.4,5852,1.943,0.125,1.5,1.9,2.0,2.0,2.94,0.0,0.0,46.5,6411,2.046,0.566,1.2,1.45,2.5,2.5,4.23,0,0
HAB_I_P1_TCAL_TUI,P1-I-HABITAT-FRANCE_PIERRE_CALCAIRE_TUILE,1.5,1.5,2.5,57.6,42.4,0.0,1.7375,1.2,2.5,53.5,46.5,0.0,100,13788,1.117,0.741,0.05,0.38,0.98,2.0,2.94,1,1,100,13788,1.104,0.967,0.06,0.23,0.595,2.5,4.23,1,4,57.6,7936,0.508,0.264,0.05,0.34,0.4,0.57,1.49,7,5,53.5,7377,0.286,0.165,0.06,0.19,0.24,0.34,1.11,12,14,42.4,5852,1.943,0.125,1.5,1.9,2.0,2.0,2.94,0.0,0.0,46.5,6411,2.046,0.566,1.2,1.45,2.5,2.5,4.23,0,0
HAB_I_P1_TCA_ZIN,P1-I-HABITAT-FRANCE_PIERRE_CALCAIRE_ZINC,1.5,1.5,2.5,57.6,42.4,0.0,1.7375,1.2,2.5,53.5,46.5,0.0,100,13788,1.117,0.741,0.05,0.38,0.98,2.0,2.94,1,1,100,13788,1.104,0.967,0.06,0.23,0.595,2.5,4.23,1,4,57.6,7936,0.508,0.264,0.05,0.34,0.4,0.57,1.49,7,5,53.5,7377,0.286,0.165,0.06,0.19,0.24,0.34,1.11,12,14,42.4,5852,1.943,0.125,1.5,1.9,2.0,2.0,2.94,0.0,0.0,46.5,6411,2.046,0.566,1.2,1.45,2.5,2.5,4.23,0,0
HAB_I_P1_TGNE_TUI,P1-I-HABITAT-FRANCE_PIERRE_GNEISS_TUILE,1.8,1.8,2.5,75.4,24.6,0.0,1.7375,1.2,2.5,68.0,32.0,0.0,100,621,0.983,0.688,0.18,0.36,0.58,1.75,2.0,5,2,100,621,0.875,0.949,0.1,0.19,0.3,1.45,2.5,2,11,75.4,468,0.664,0.461,0.18,0.35,0.42,0.98,1.75,7,4,68.0,422,0.26,0.149,0.1,0.18,0.2,0.32,1.0,13,18,24.6,153,1.96,0.054,1.8,1.9,2.0,2.0,2.0,0.0,0.0,32.0,199,2.179,0.505,1.2,1.725,2.5,2.5,2.5,0,0
HAB_I_P1_TGRA_ARD,P1-I-HABITAT-FRANCE_PIERRE_GRANITE_ARDOISE,1.5,1.5,2.5,71.3,28.7,0.0,1.7375,1.2,2.5,65.4,34.6,0.0,100,1961,0.911,0.673,0.08,0.36,0.47,1.7,2.5,6,2,100,1961,0.865,0.895,0.08,0.2,0.34,1.2,2.5,2,9,71.3,1398,0.512,0.264,0.08,0.35,0.4,0.56,1.48,7,5,65.4,1283,0.273,0.155,0.08,0.18,0.23,0.32,1.18,12,15,28.7,563,1.901,0.163,1.5,1.8,2.0,2.0,2.5,0.0,0.0,34.6,678,1.987,0.589,1.2,1.2,2.3,2.5,2.5,0,0
HAB_I_P1_TGRA_TUI,P1-I-HABITAT-FRANCE_PIERRE_GRANITE_TUILE,1.5,1.5,2.5,71.3,28.7,0.0,1.7375,1.2,2.5,65.4,34.6,0.0,100,1961,0.911,0.673,0.08,0.36,0.47,1.7,2.5,6,2,100,1961,0.865,0.895,0.08,0.2,0.34,1.2,2.5,2,9,71.3,1398,0.512,0.264,0.08,0.35,0.4,0.56,1.48,7,5,65.4,1283,0.273,0.155,0.08,0.18,0.23,0.32,1.18,12,15,28.7,563,1.901,0.163,1.5,1.8,2.0,2.0,2.5,0.0,0.0,34.6,678,1.987,0.589,1.2,1.2,2.3,2.5,2.5,0,0
HAB_I_P1_TGRE_ARD,P1-I-HABITAT-FRANCE_PIERRE_GRES_ARDOISE,1.65,1.65,2.5,70.3,29.7,0.0,1.7375,1.2,2.5,62.7,37.3,0.0,100,5661,0.931,0.706,0.05,0.34,0.47,1.75,3.42,6,2,100,5661,0.877,0.886,0.06,0.19,0.34,1.45,3.0,2,9,70.3,3981,0.508,0.315,0.05,0.33,0.36,0.55,1.61,9,5,62.7,3550,0.258,0.144,0.06,0.18,0.2,0.3,1.11,13,18,29.7,1680,1.931,0.138,1.65,1.9,2.0,2.0,3.42,0.0,0.0,37.3,2111,1.917,0.588,1.2,1.2,2.3,2.5,3.0,0,0
HAB_I_P1_TGRE_TUI,P1-I-HABITAT-FRANCE_PIERRE_GRES_TUILE,1.65,1.65,2.5,70.3,29.7,0.0,1.7375,1.2,2.5,62.7,37.3,0.0,100,5661,0.931,0.706,0.05,0.34,0.47,1.75,3.42,6,2,100,5661,0.877,0.886,0.06,0.19,0.34,1.45,3.0,2,9,70.3,3981,0.508,0.315,0.05,0.33,0.36,0.55,1.61,9,5,62.7,3550,0.258,0.144,0.06,0.18,0.2,0.3,1.11,13,18,29.7,1680,1.931,0.138,1.65,1.9,2.0,2.0,3.42,0.0,0.0,37.3,2111,1.917,0.588,1.2,1.2,2.3,2.5,3.0,0,0
HAB_I_P1_TMEU,P1-I-HABITAT-FRANCE_PIERRE_MEULIERE_TUILE,1.5,1.5,2.5,70.8,29.2,0.0,1.7375,1.2,2.5,63.8,36.2,0.0,100,1594,0.882,0.692,0.12,0.34,0.45,1.65,2.5,6,2,100,1594,0.843,0.873,0.07,0.19,0.31,1.2,2.5,2,11,70.8,1129,0.469,0.281,0.12,0.33,0.36,0.47,1.45,8,6,63.8,1017,0.249,0.138,0.07,0.17,0.2,0.29,1.06,14,18,29.2,465,1.885,0.169,1.5,1.75,2.0,2.0,2.5,0.0,0.0,36.2,577,1.888,0.597,1.2,1.2,2.0,2.5,2.5,0,0
HAB_I_P1_TSCH_TUI,P1-I-HABITAT-FRANCE_PIERRE_SCHISTE_TUILE,1.5,1.5,2.5,48.5,51.4,0.2,1.7375,1.2,2.5,64.7,35.3,0.0,100,617,1.239,0.728,0.18,0.42,1.65,2.0,2.56,0,1,100,617,0.943,0.929,0.1,0.24,0.34,1.45,2.5,2,9,48.5,299,0.517,0.25,0.18,0.36,0.42,0.56,1.45,7,5,64.7,399,0.308,0.183,0.1,0.19,0.25,0.34,1.11,11,14,51.6,318,1.917,0.13,1.5,1.9,2.0,2.0,2.56,0.0,0.0,35.3,218,2.107,0.536,1.2,1.45,2.5,2.5,2.5,0,0
HAB_I_P1_TER_TUI,P1-I-HABITAT-FRANCE_TERRE_TUILE,1.5,1.5,2.5,77.7,22.3,0.0,1.7375,1.2,2.5,72.5,27.5,0.0,100,1074,0.779,0.671,0.1,0.33,0.4,0.98,2.5,7,2,100,1074,0.686,0.806,0.08,0.19,0.25,1.2,2.5,4,14,77.7,835,0.439,0.228,0.1,0.33,0.35,0.45,1.49,9,6,72.5,779,0.234,0.118,0.08,0.17,0.19,0.25,1.11,15,19,22.3,239,1.965,0.178,1.5,1.9,2.0,2.0,2.5,0.0,0.0,27.5,295,1.88,0.604,1.2,1.2,2.0,2.5,2.5,0,0
HAB_P_P1_TBO_TUI,P1-P-HABITAT-FRANCE_BOIS_TUILE,0.8,0.8,2.5,62.4,37.6,0.0,1.7375,1.2,2.5,83.4,16.6,0.0,100,2141,0.876,0.691,0.09,0.35,0.47,1.68,2.5,4,0,100,2141,0.568,0.746,0.06,0.18,0.23,0.43,2.5,5,15,62.4,1337,0.383,0.129,0.09,0.33,0.36,0.42,0.77,6,5,83.4,1786,0.253,0.139,0.06,0.18,0.2,0.3,1.11,14,18,37.6,804,1.696,0.41,0.8,1.5,1.9,2.0,2.5,0.0,0.0,16.6,355,2.154,0.491,1.2,2.0,2.3,2.5,2.5,0,0
HAB_P_P1_TBR_TUI,P1-P-HABITAT-FRANCE_BRIQUE_TUILE,1.35,1.35,2.5,70.6,29.4,0.0,1.7375,1.2,2.5,80.4,19.6,0.0,100,34181,0.923,0.694,0.05,0.36,0.55,1.75,2.89,4,1,100,34181,0.615,0.762,0.05,0.19,0.25,0.5,2.74,4,14,70.6,24122,0.5,0.255,0.05,0.34,0.4,0.61,1.34,7,5,80.4,27475,0.264,0.15,0.05,0.18,0.2,0.33,1.18,13,18,29.4,10059,1.936,0.168,1.35,1.9,2.0,2.0,2.89,0.0,0.0,19.6,6706,2.052,0.547,1.2,1.45,2.3,2.5,2.74,0,0
HAB_P_P1_TCAL_TUI,P1-P-HABITAT-FRANCE_PIERRE_CALCAIRE_TUILE,1.5,1.5,2.5,69.1,30.9,0.0,1.7375,1.2,2.5,82.3,17.5,0.2,100,27244,0.942,0.696,0.07,0.36,0.54,1.8,2.5,5,2,100,27244,0.598,0.77,0.05,0.18,0.25,0.43,3.61,4,14,69.1,18816,0.501,0.255,0.07,0.35,0.4,0.57,1.49,7,5,82.3,22423,0.263,0.147,0.05,0.18,0.2,0.3,1.13,13,18,30.9,8428,1.926,0.143,1.5,1.9,2.0,2.0,2.5,0.0,0.0,17.7,4821,2.161,0.532,1.2,1.6,2.5,2.5,3.61,0,0
HAB_P_P1_TCA_ZIN,P1-P-HABITAT-FRANCE_PIERRE_CALCAIRE_ZINC,1.5,1.5,2.5,69.1,30.9,0.0,1.7375,1.2,2.5,82.3,17.5,0.2,100,27244,0.942,0.696,0.07,0.36,0.54,1.8,2.5,5,2,100,27244,0.598,0.77,0.05,0.18,0.25,0.43,3.61,4,14,69.1,18816,0.501,0.255,0.07,0.35,0.4,0.57,1.49,7,5,82.3,22423,0.263,0.147,0.05,0.18,0.2,0.3,1.13,13,18,30.9,8428,1.926,0.143,1.5,1.9,2.0,2.0,2.5,0.0,0.0,17.7,4821,2.161,0.532,1.2,1.6,2.5,2.5,3.61,0,0
HAB_P_P1_TGNE_TUI,P1-P-HABITAT-FRANCE_PIERRE_GNEISS_TUILE,1.8,1.8,2.5,68.5,31.4,0.1,1.7375,1.2,2.5,82.7,17.3,0.0,100,1637,1.083,0.719,0.1,0.36,0.98,1.9,2.51,2,1,100,1637,0.58,0.763,0.05,0.18,0.23,0.43,2.5,5,15,68.5,1122,0.676,0.478,0.1,0.35,0.42,0.98,1.78,7,4,82.7,1353,0.249,0.133,0.05,0.17,0.2,0.31,1.11,14,18,31.5,515,1.968,0.068,1.8,1.9,2.0,2.0,2.51,0.0,0.0,17.3,284,2.159,0.508,1.2,1.45,2.5,2.5,2.5,0,0
HAB_P_P1_TGRA_ARD,P1-P-HABITAT-FRANCE_PIERRE_GRANITE_ARDOISE,1.8,1.8,2.5,72.5,27.5,0.0,1.7375,1.2,2.5,83.8,16.2,0.0,100,5265,0.987,0.699,0.09,0.36,0.66,1.9,2.5,4,2,100,5265,0.557,0.708,0.08,0.18,0.24,0.46,2.5,5,14,72.5,3818,0.615,0.407,0.09,0.35,0.42,0.835,1.75,7,4,83.8,4412,0.267,0.158,0.08,0.18,0.2,0.32,1.11,13,18,27.5,1447,1.969,0.091,1.8,1.9,2.0,2.0,2.5,0.0,0.0,16.2,853,2.054,0.536,1.2,1.45,2.3,2.5,2.5,0,0
HAB_P_P1_TGRA_TUI,P1-P-HABITAT-FRANCE_PIERRE_GRANITE_TUILE,1.8,1.8,2.5,72.5,27.5,0.0,1.7375,1.2,2.5,83.8,16.2,0.0,100,5265,0.987,0.699,0.09,0.36,0.66,1.9,2.5,4,2,100,5265,0.557,0.708,0.08,0.18,0.24,0.46,2.5,5,14,72.5,3818,0.615,0.407,0.09,0.35,0.42,0.835,1.75,7,4,83.8,4412,0.267,0.158,0.08,0.18,0.2,0.32,1.11,13,18,27.5,1447,1.969,0.091,1.8,1.9,2.0,2.0,2.5,0.0,0.0,16.2,853,2.054,0.536,1.2,1.45,2.3,2.5,2.5,0,0
HAB_P_P1_TGRE_ARD,P1-P-HABITAT-FRANCE_PIERRE_GRES_ARDOISE,1.65,1.65,2.5,68.6,31.4,0.0,1.7375,1.2,2.5,79.4,20.6,0.0,100,13447,0.979,0.712,0.05,0.35,0.61,1.9,2.5,4,2,100,13447,0.598,0.733,0.05,0.18,0.24,0.53,4.62,4,14,68.6,9222,0.54,0.344,0.05,0.33,0.4,0.63,1.62,8,5,79.4,10675,0.255,0.145,0.05,0.17,0.2,0.3,1.16,13,18,31.4,4225,1.936,0.135,1.65,1.9,2.0,2.0,2.5,0.0,0.0,20.6,2772,1.918,0.572,1.2,1.2,2.3,2.5,4.62,0,0
HAB_P_P1_TGRE_TUI,P1-P-HABITAT-FRANCE_PIERRE_GRES_TUILE,1.65,1.65,2.5,68.6,31.4,0.0,1.7375,1.2,2.5,79.4,20.6,0.0,100,13447,0.979,0.712,0.05,0.35,0.61,1.9,2.5,4,2,100,13447,0.598,0.733,0.05,0.18,0.24,0.53,4.62,4,14,68.6,9222,0.54,0.344,0.05,0.33,0.4,0.63,1.62,8,5,79.4,10675,0.255,0.145,0.05,0.17,0.2,0.3,1.16,13,18,31.4,4225,1.936,0.135,1.65,1.9,2.0,2.0,2.5,0.0,0.0,20.6,2772,1.918,0.572,1.2,1.2,2.3,2.5,4.62,0,0
HAB_P_P1_TMEU,P1-P-HABITAT-FRANCE_PIERRE_MEULIERE_TUILE,2.45,2.45,2.5,99.8,0.2,0.0,1.7375,1.2,2.5,78.9,21.1,0.0,100,2943,1.001,0.714,0.05,0.35,0.63,1.75,2.5,5,2,100,2943,0.595,0.727,0.05,0.18,0.24,0.59,2.5,4,14,99.8,2936,0.998,0.711,0.05,0.35,0.62,1.75,2.34,5,2,78.9,2322,0.251,0.142,0.05,0.17,0.2,0.3,1.11,14,18,0.2,7,2.5,0.0,2.5,2.5,2.5,2.5,2.5,0.0,0.0,21.1,621,1.88,0.578,1.2,1.2,2.0,2.5,2.5,0,0
