CODE_DEPT,MAT_MURS,MAT_TOITS,TERR_P1,TERR_P2-P7,CODE_REG
1,EARTH,TILE,FRANCE_TERRE_TUILE,FRANCE_TUILE,84
2,LIMESTONE,SLATE_MAJORITY,FRANCE_PIERRE_CALCAIRE_ARDOISE,FRANCE_ARDOISE,32
3,SANDSTONE,SLATE,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,84
4,LIMESTONE,TILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,93
5,PEBBLE,TILE,FRANCE_PIERRE_MEULIERE_TUILE,FRANCE_TUILE,93
6,LIMESTONE,TILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,93
7,SANDSTONE,TILE,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,84
8,MEULIERESTONE,SLATE_TILE,FRANCE_PIERRE_MEULIERE_ARDOISE,FRANCE_ARDOISE,44
9,SCHIST,TILE,FRANCE_PIERRE_SCHISTE_TUILE,FRANCE_TUILE,76
10,MEULIERESTONE,TILE_MAJORITY,FRANCE_PIERRE_MEULIERE_TUILE,FRANCE_TUILE,44
11,LIMESTONE,TILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,76
12,SCHIST,SLATE_TILE,FRANCE_PIERRE_SCHISTE_ARDOISE,FRANCE_ARDOISE,76
13,LIMESTONE,TILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,93
14,GRANITE,SLATE_MAJORITY,FRANCE_PIERRE_GRANITE_ARDOISE,FRANCE_ARDOISE,28
15,VOLCANIC,TILE_MAJORITY,FRANCE_PIERRE_VOLCANIQUE_TUILE,FRANCE_TUILE,84
16,LIMESTONE,TILE_MAJORITY,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,75
17,LIMESTONE,TILE_MAJORITY,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,75
18,SANDSTONE,SLATE_TILE,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,24
19,LIMESTONE,SLATE_MAJORITY,FRANCE_PIERRE_CALCAIRE_ARDOISE,FRANCE_ARDOISE,75
21,BRICK,TILE_MAJORITY,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,27
22,SANDSTONE,SLATE_TILE,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,53
23,GRANITE,SLATE_TILE,FRANCE_PIERRE_GRANITE_ARDOISE,FRANCE_ARDOISE,75
24,MEULIERESTONE,TILE_MAJORITY,FRANCE_PIERRE_MEULIERE_TUILE,FRANCE_TUILE,75
25,LIMESTONE,TILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,27
26,PEBBLE,TILE,FRANCE_PIERRE_MEULIERE_TUILE,FRANCE_TUILE,84
27,LIMESTONE,SLATE_TILE,FRANCE_PIERRE_CALCAIRE_ARDOISE,FRANCE_ARDOISE,28
28,LIMESTONE,SLATE,FRANCE_PIERRE_CALCAIRE_ARDOISE,FRANCE_ARDOISE,24
29,GRANITE,SLATE_TILE,FRANCE_PIERRE_GRANITE_ARDOISE,FRANCE_ARDOISE,53
2A,GRANITE,TILE,FRANCE_PIERRE_GRANITE_TUILE,FRANCE_TUILE,76
2B,GRANITE,TILE,FRANCE_PIERRE_GRANITE_TUILE,FRANCE_TUILE,94
30,LIMESTONE,TILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,94
31,BRICK,TILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,76
32,SCHIST,TILE,FRANCE_PIERRE_SCHISTE_TUILE,FRANCE_TUILE,76
33,LIMESTONE,TILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,75
34,LIMESTONE,TILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,76
35,SANDSTONE,SLATE_TILE,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,53
36,LIMESTONE,TILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,24
37,BRICK,SLATE_MAJORITY,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,24
38,LIMESTONE,TILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,84
39,EARTH,TILE,FRANCE_TERRE_TUILE,FRANCE_TUILE,27
40,WOOD,TILE,FRANCE_BOIS_TUILE,FRANCE_TUILE,75
41,LIMESTONE,SLATE_TILE,FRANCE_PIERRE_CALCAIRE_ARDOISE,FRANCE_ARDOISE,24
42,LIMESTONE,TILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,84
43,SANDSTONE,TILE,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,84
44,SANDSTONE,SLATE,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,52
45,BRICK,SLATE_MAJORITY,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,24
46,LIMESTONE,TILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,76
47,GNEISS,TILE,FRANCE_PIERRE_GNEISS_TUILE,FRANCE_TUILE,75
48,SCHIST,SLATE_TILE,FRANCE_PIERRE_SCHISTE_ARDOISE,FRANCE_ARDOISE,76
49,GRANITE,SLATE_TILE,FRANCE_PIERRE_GRANITE_ARDOISE,FRANCE_ARDOISE,52
50,SANDSTONE,SLATE_TILE,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,28
51,EARTH,TILE_MAJORITY,FRANCE_TERRE_TUILE,FRANCE_TUILE,44
52,EARTH,TILE,FRANCE_TERRE_TUILE,FRANCE_TUILE,44
53,BRICK,TILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,52
54,BRICK,TILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,44
55,LIMESTONE,TILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,44
56,GRANITE,SLATE_TILE,FRANCE_PIERRE_GRANITE_ARDOISE,FRANCE_ARDOISE,53
57,SANDSTONE,TILE_MAJORITY,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,44
58,EARTH,SLATE,FRANCE_TERRE_ARDOISE,FRANCE_ARDOISE,27
59,BRICK,TILE_MAJORITY,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,32
60,LIMESTONE,SLATE,FRANCE_PIERRE_CALCAIRE_ARDOISE,FRANCE_ARDOISE,32
61,BRICK,SLATE,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,28
62,BRICK,SLATE,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,32
63,VOLCANIC,TILE_MAJORITY,FRANCE_PIERRE_VOLCANIQUE_TUILE,FRANCE_TUILE,84
64,SANDSTONE,SLATE,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,75
65,BRICK,SLATE,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,76
66,SCHIST,TILE,FRANCE_PIERRE_SCHISTE_TUILE,FRANCE_TUILE,76
67,SANDSTONE,SLATE,FRANCE_PIERRE_GRES_ARDOISE,FRANCE_ARDOISE,44
68,MEULIERESTONE,TILE_MAJORITY,FRANCE_PIERRE_MEULIERE_TUILE,FRANCE_TUILE,44
69,LIMESTONE,TILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,84
70,LIMESTONE,TILE_MAJORITY,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,27
71,BRICK,TILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,27
72,BRICK,SLATE_TILE,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,52
73,WOOD,SLATE,FRANCE_BOIS_ARDOISE,FRANCE_ARDOISE,84
74,WOOD,TILE,FRANCE_BOIS_TUILE,FRANCE_TUILE,84
75,LIMESTONE,ZINC,FRANCE_PIERRE_CALCAIRE_ZINC,FRANCE_TUILE,11
76,BRICK,SLATE,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,28
77,LIMESTONE,TILE_MAJORITY,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,11
78,BRICK,SLATE,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,11
79,BRICK,TILE_MAJORITY,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,75
80,BRICK,SLATE_TILE,FRANCE_BRIQUE_ARDOISE,FRANCE_ARDOISE,32
81,SANDSTONE,TILE,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,76
82,GNEISS,TILE,FRANCE_PIERRE_GNEISS_TUILE,FRANCE_TUILE,76
83,LIMESTONE,TILE,FRANCE_PIERRE_CALCAIRE_TUILE,FRANCE_TUILE,93
84,GNEISS,TILE,FRANCE_PIERRE_GNEISS_TUILE,FRANCE_TUILE,93
85,BRICK,TILE_MAJORITY,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,52
86,LIMESTONE,SLATE,FRANCE_PIERRE_CALCAIRE_ARDOISE,FRANCE_ARDOISE,75
87,GRANITE,SLATE,FRANCE_PIERRE_GRANITE_ARDOISE,FRANCE_ARDOISE,75
88,SANDSTONE,TILE,FRANCE_PIERRE_GRES_TUILE,FRANCE_TUILE,44
89,BRICK,TILE_MAJORITY,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,27
90,BRICK,TILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,27
91,BRICK,TILE_MAJORITY,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,11
92,BRICK,TILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,11
93,BRICK,TILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,11
94,BRICK,TILE_MAJORITY,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,11
95,BRICK,TILE,FRANCE_BRIQUE_TUILE,FRANCE_TUILE,11
